,year,adult,id,original_language,original_title,overview,popularity,release_date,title,vote_average,vote_count,genres,budget,revenue,best_picture_winner
167,2016,False,397243,en,The Autopsy of Jane Doe,"Father and son coroners receive a mysterious unidentified corpse with no apparent cause of death. As they attempt to examine the ""Jane Doe,"" they discover increasingly bizarre clues that hold the key to her terrifying secrets.",5.9749,2016-12-21,the autopsy of jane doe,6.826,4542,"[""'Horror'"", "" 'Mystery'""]",4000000,6170043,False
168,2016,False,381341,it,Perfetti sconosciuti,"During a dinner, a group of friends decide to share whatever message or phone call they will receive during the evening, with unforeseen consequences.",8.0568,2016-02-11,perfect strangers,7.855,4516,"[""'Comedy'"", "" 'Drama'""]",0,32207491,False
169,2016,False,325133,en,Neighbors 2: Sorority Rising,A sorority moves in next door to the home of Mac and Kelly Radner who have a young child. The Radner's enlist their former nemeses from the fraternity to help battle the raucous sisters.,4.3197,2016-05-04,neighbors 2: sorority rising,5.82,4511,"[""'Comedy'""]",35000000,108007109,False
170,2016,False,302401,en,Snowden,CIA employee Edward Snowden leaks thousands of classified documents to the press.,4.2585,2016-09-15,snowden,7.1,4499,"[""'Drama'"", "" 'History'"", "" 'Crime'"", "" 'Thriller'""]",40000000,37357216,False
171,2016,False,291870,en,Dirty Grandpa,"Jason Kelly is one week away from marrying his boss's uber-controlling daughter, putting him on the fast track for a partnership at the law firm. However, when the straight-laced Jason is tricked into driving his foul-mouthed grandfather, Dick, to Daytona for spring break, his pending nuptials are suddenly in jeopardy. Between riotous frat parties, bar fights, and an epic night of karaoke, Dick is on a quest to live his life to the fullest and bring Jason along for the ride.",4.9333,2016-01-20,dirty grandpa,5.935,4498,"[""'Comedy'""]",11500000,94100000,False
172,2016,False,356305,en,Why Him?,A dad forms a bitter rivalry with his daughter's young rich boyfriend.,5.824,2016-12-22,why him?,6.38,4294,"[""'Comedy'""]",38000000,118102725,False
173,2016,False,378064,ja,映画 聲の形,"Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?",7.6669,2016-09-17,a silent voice: the movie,8.4,4266,"[""'Animation'"", "" 'Drama'"", "" 'Romance'""]",0,30819442,False
174,2016,False,205584,en,Gods of Egypt,A common thief joins a mythical god on a quest through Egypt.,7.6726,2016-02-25,gods of egypt,5.686,4220,"[""'Action'"", "" 'Adventure'"", "" 'Fantasy'""]",140000000,150680864,False
175,2016,False,376659,en,Bad Moms,"When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun, and comedic self-indulgence.",5.5187,2016-07-28,bad moms,6.494,4175,"[""'Comedy'""]",20000000,183936074,False
176,2016,False,376660,en,The Edge of Seventeen,"Two high school girls are best friends until one dates the other's older brother, who is totally his sister's nemesis.",3.1064,2016-11-18,the edge of seventeen,7.157,4159,"[""'Comedy'"", "" 'Drama'""]",9000000,18803648,False
